% 1. Title: Microtasks from Experiment One
%
% 2. Sources:
%      (a) Creator: Christian Medeiros Adriano
%      (b) Date of Experiment: October 20, 2014
%      (c) Paper draft = https://arxiv.org/abs/1612.03015
%
%
%THESE FIELDS ARE MISSING IN THE FILE
%
%@ATTRIBUTE test1 NUMERIC  
%@ATTRIBUTE test2 NUMERIC
%@ATTRIBUTE test3 NUMERIC
%@ATTRIBUTE test4 NUMERIC
%@ATTRIBUTE grade NUMERIC
%@ATTRIBUTE testDuration NUMERIC
%
% Have to add double quotes for all text fields (question, answer and feedback)
%

@RELATION Task

@ATTRIBUTE time_stamp STRING
@ATTRIBUTE task_type {MICROTASK}
@ATTRIBUTE worker_id NUMERIC		
@ATTRIBUTE session_id STRING		
@ATTRIBUTE microtask_id NUMERIC
@ATTRIBUTE file_name STRING
@ATTRIBUTE question STRING
@ATTRIBUTE answer {NO,PROBABLY_NOT,I_CANT_TELL,PROBABLY_YES,YES}
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE explanation STRING
@ATTRIBUTE consent_date NUMERIC
@ATTRIBUTE feedback STRING
@ATTRIBUTE gender STRING
@ATTRIBUTE years_programming NUMERIC
@ATTRIBUTE difficulty NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE age NUMERIC

@DATA

09:05:39.928,MICROTASK,39_1,496ce9A-5C-8-56,173,11ByteArrayBuffer_buggy.java,"Is there maybe something wrong in the declaration of function 'grow' at line 120 (e.g.; requires a parameter that is not listed; needs different parameters to produce the correct result; specifies the wrong or no return type; etc .)?",I_CANT_TELL,16856.0,gg,1.414155900304E12,rr,Male,33,2,33,33
09:05:42.386,MICROTASK,39_1,496ce9A-5C-8-56,154,8buggy_AbstractReviewSection_buggy.txt,Is there maybe something wrong with the invocation of function 'getTextClient' in function 'appendMessage' at line 79 (e.g.; should be at a different place in the code; should invoke a different function; has unanticipated side effects; return value is improperly used; etc.),I_CANT_TELL,2458.0,ff,1.414155900304E12,rr,Male,33,2,33,33
09:05:44.882,MICROTASK,39_1,496ce9A-5C-8-56,17,1buggy_ApacheCamel.txt,Is there maybe something wrong with the 'For-loop' construct at line 81 (e.g.; incorrect initialization; wrong counter increment; wrong exit condition; etc.)?,PROBABLY_YES,2496.0,ff,1.414155900304E12,rr,Male,33,2,33,33
09:05:47.097,MICROTASK,39_1,496ce9A-5C-8-56,162,9buggy_Hystrix_buggy.txt,Is there maybe something wrong in the declaration of function 'endCurrentThreadExecutingCommand' at line 87 (e.g.; requires a parameter that is not listed; needs different parameters to produce the correct result; specifies the wrong or no return type; etc .)?,PROBABLY_NOT,2215.0,fff,1.414155900304E12,rr,Male,33,2,33,33
09:05:48.939,MICROTASK,39_1,496ce9A-5C-8-56,181,13buggy_VectorClock_buggy.txt,Is there maybe something wrong with the invocation of function 'size' in function 'merge' at line 244 (e.g.; should be at a different place in the code; should invoke a different function; has unanticipated side effects; return value is improperly used; etc.),PROBABLY_YES,1842.0,fff,1.414155900304E12,rr,Male,33,2,33,33
09:05:50.955,MICROTASK,39_1,496ce9A-5C-8-56,168,10HashPropertyBuilder_buggy.java,Is there maybe something wrong with the invocation of function 'nextOrdinal' in function 'calculateNumPopulatedBytes' at line 138 (e.g.; should be at a different place in the code; should invoke a different function; has unanticipated side effects; return value is improperly used; etc.),I_CANT_TELL,2016.0,fff,1.414155900304E12,rr,Male,33,2,33,33
09:05:52.863,MICROTASK,39_1,496ce9A-5C-8-56,98,3buggy_PatchSetContentRemoteFactory_buggy.txt,Is there maybe something wrong with the invocation of function 'get' in function 'addComments' at line 105 (e.g.; should be at a different place in the code; should invoke a different function; has unanticipated side effects; return value is improperly used; etc.),I_CANT_TELL,1908.0,fff,1.414155900304E12,rr,Male,33,2,33,33
09:05:55.978,MICROTASK,39_1,496ce9A-5C-8-56,145,7buggy_ReviewTaskMapper_buggy.txt,Is there possibly something wrong with the body of function 'mapScope' between lines 231 and 238 (e.g.; function produces an incorrect return value; return statement is at the wrong place; does not properly handle error situations; etc.)?,PROBABLY_NOT,3115.0,ff,1.414155900304E12,rr,Male,33,2,33,33
09:05:59.238,MICROTASK,39_1,496ce9A-5C-8-56,120,6ReviewScopeNode_buggy.java,Is there maybe something wrong with the 'For-loop' construct at line 60 (e.g.; incorrect initialization; wrong counter increment; wrong exit condition; etc.)?,PROBABLY_YES,3260.0,fff,1.414155900304E12,rr,Male,33,2,33,33
