Worker Experience,Profession,Years Programming,Worker Gender,Worker Age
Graduate_Student,Graduate_Student,18.00,Female,18
Graduate_Student,Graduate_Student,2.00,Female,18
Graduate_Student,Graduate_Student,1.00,Female,20
Graduate_Student,Graduate_Student,1.00,Female,21
Graduate_Student,Graduate_Student,1.00,Female,21
Graduate_Student,Graduate_Student,0.00,Male,28
Graduate_Student,Graduate_Student,0.00,Female,22
Graduate_Student,Graduate_Student,1.00,Female,22
Graduate_Student,Graduate_Student,2.00,Female,22
Graduate_Student,Graduate_Student,0.00,Male,38
Graduate_Student,Graduate_Student,2.00,Female,22
Graduate_Student,Graduate_Student,2.00,Female,22
Graduate_Student,Graduate_Student,2.00,Female,22
Graduate_Student,Graduate_Student,0.00,Male,34
Graduate_Student,Graduate_Student,0.00,Male,22
Graduate_Student,Graduate_Student,3.00,Female,22
Graduate_Student,Graduate_Student,1.00,Female,23
Graduate_Student,Graduate_Student,2.00,Female,23
Graduate_Student,Graduate_Student,2.00,Female,23
Graduate_Student,Graduate_Student,1.00,Male,32
Graduate_Student,Graduate_Student,2.00,Female,23
Graduate_Student,Graduate_Student,1.00,Male,22
Graduate_Student,Graduate_Student,3.00,Female,23
Graduate_Student,Graduate_Student,1.00,Male,24
Graduate_Student,Graduate_Student,1.00,Male,25
Graduate_Student,Graduate_Student,3.00,Female,23
Graduate_Student,Graduate_Student,4.00,Female,23
Graduate_Student,Graduate_Student,1.00,Male,38
Graduate_Student,Graduate_Student,5.00,Female,23
Graduate_Student,Graduate_Student,1.00,Male,26
Graduate_Student,Graduate_Student,1.00,Male,23
Graduate_Student,Graduate_Student,1.00,Male,29
Graduate_Student,Graduate_Student,1.00,Male,29
Graduate_Student,Graduate_Student,1.00,Male,23
Graduate_Student,Graduate_Student,1.00,Male,25
Graduate_Student,Graduate_Student,5.00,Female,23
Graduate_Student,Graduate_Student,0.00,Female,24
Graduate_Student,Graduate_Student,1.00,Male,28
Graduate_Student,Graduate_Student,0.00,Female,24
Graduate_Student,Graduate_Student,1.00,Male,33
Graduate_Student,Graduate_Student,0.00,Female,24
Graduate_Student,Graduate_Student,1.00,Male,24
Graduate_Student,Graduate_Student,0.00,Female,24
Graduate_Student,Graduate_Student,1.00,Male,24
Graduate_Student,Graduate_Student,1.00,Male,32
Graduate_Student,Graduate_Student,1.00,Male,28
Graduate_Student,Graduate_Student,1.00,Male,21
Graduate_Student,Graduate_Student,1.00,Male,57
Graduate_Student,Graduate_Student,1.00,Male,24
Graduate_Student,Graduate_Student,1.00,Male,30
Graduate_Student,Graduate_Student,1.00,Female,24
Graduate_Student,Graduate_Student,1.00,Female,24
Graduate_Student,Graduate_Student,1.00,Male,29
Graduate_Student,Graduate_Student,1.00,Male,22
Graduate_Student,Graduate_Student,1.00,Male,29
Graduate_Student,Graduate_Student,1.00,Male,27
Graduate_Student,Graduate_Student,1.00,Female,24
Graduate_Student,Graduate_Student,1.00,Male,29
Graduate_Student,Graduate_Student,1.00,Male,23
Graduate_Student,Graduate_Student,2.00,Female,24
Graduate_Student,Graduate_Student,2.00,Female,24
Graduate_Student,Graduate_Student,1.00,Male,24
Graduate_Student,Graduate_Student,3.00,Female,24
Graduate_Student,Graduate_Student,3.00,Female,24
Graduate_Student,Graduate_Student,4.00,Female,24
Graduate_Student,Graduate_Student,1.00,Male,28
Graduate_Student,Graduate_Student,1.00,Male,35
Graduate_Student,Graduate_Student,4.00,Female,24
Graduate_Student,Graduate_Student,5.00,Female,24
Graduate_Student,Graduate_Student,1.00,Male,30
Graduate_Student,Graduate_Student,1.00,Male,25
Graduate_Student,Graduate_Student,6.00,Female,24
Graduate_Student,Graduate_Student,0.00,Female,25
Graduate_Student,Graduate_Student,1.00,Male,22
Graduate_Student,Graduate_Student,1.00,Male,27
Graduate_Student,Graduate_Student,1.00,Male,28
Graduate_Student,Graduate_Student,1.00,Male,25
Graduate_Student,Graduate_Student,1.00,Female,25
Graduate_Student,Graduate_Student,1.00,Male,23
Graduate_Student,Graduate_Student,1.00,Male,25
Graduate_Student,Graduate_Student,1.00,Male,33
Graduate_Student,Graduate_Student,1.00,Male,22
Graduate_Student,Graduate_Student,1.00,Female,25
Graduate_Student,Graduate_Student,1.00,Male,22
Graduate_Student,Graduate_Student,1.00,Female,25
Graduate_Student,Graduate_Student,1.00,Male,27
Graduate_Student,Graduate_Student,1.00,Male,29
Graduate_Student,Graduate_Student,1.00,Male,25
Graduate_Student,Graduate_Student,1.00,Male,26
Graduate_Student,Graduate_Student,1.00,Male,43
Graduate_Student,Graduate_Student,1.00,Female,25
Graduate_Student,Graduate_Student,1.00,Male,25
Graduate_Student,Graduate_Student,2.00,Female,25
Graduate_Student,Graduate_Student,1.00,Male,25
Graduate_Student,Graduate_Student,1.00,Male,22
Graduate_Student,Graduate_Student,1.00,Male,27
Graduate_Student,Graduate_Student,1.00,Male,29
Graduate_Student,Graduate_Student,1.00,Male,24
Graduate_Student,Graduate_Student,1.00,Male,26
Graduate_Student,Graduate_Student,1.00,Male,38
Graduate_Student,Graduate_Student,2.00,Female,25
Graduate_Student,Graduate_Student,10.00,Male,29
Graduate_Student,Graduate_Student,10.00,Male,30
Graduate_Student,Graduate_Student,10.00,Male,29
Graduate_Student,Graduate_Student,10.00,Male,36
Graduate_Student,Graduate_Student,10.00,Male,27
Graduate_Student,Graduate_Student,10.00,Male,31
Graduate_Student,Graduate_Student,10.00,Male,25
Graduate_Student,Graduate_Student,2.00,Female,25
Graduate_Student,Graduate_Student,12.00,Male,40
Graduate_Student,Graduate_Student,12.00,Male,28
Graduate_Student,Graduate_Student,12.00,Male,34
Graduate_Student,Graduate_Student,13.00,Male,28
Graduate_Student,Graduate_Student,14.00,Male,28
Graduate_Student,Graduate_Student,15.00,Male,42
Graduate_Student,Graduate_Student,15.00,Male,30
Graduate_Student,Graduate_Student,17.00,Male,45
Graduate_Student,Graduate_Student,2.00,Female,25
Graduate_Student,Graduate_Student,2.00,Male,25
Graduate_Student,Graduate_Student,2.00,Male,25
Graduate_Student,Graduate_Student,3.00,Female,25
Graduate_Student,Graduate_Student,2.00,Male,25
Graduate_Student,Graduate_Student,5.00,Female,25
Graduate_Student,Graduate_Student,5.00,Female,25
Graduate_Student,Graduate_Student,7.00,Female,25
Graduate_Student,Graduate_Student,0.00,Female,26
Graduate_Student,Graduate_Student,2.00,Prefer not to tell,23
Graduate_Student,Graduate_Student,2.00,Male,26
Graduate_Student,Graduate_Student,1.00,Female,26
Graduate_Student,Graduate_Student,2.00,Male,31
Graduate_Student,Graduate_Student,2.00,Male,23
Graduate_Student,Graduate_Student,2.00,Male,27
Graduate_Student,Graduate_Student,1.00,Female,26
Graduate_Student,Graduate_Student,2.00,Male,25
Graduate_Student,Graduate_Student,1.00,Female,26
Graduate_Student,Graduate_Student,2.00,Male,24
Graduate_Student,Graduate_Student,2.00,Male,34
Graduate_Student,Graduate_Student,2.00,Male,27
Graduate_Student,Graduate_Student,1.00,Female,26
Graduate_Student,Graduate_Student,2.00,Male,26
Graduate_Student,Graduate_Student,1.00,Female,26
Graduate_Student,Graduate_Student,2.00,Male,27
Graduate_Student,Graduate_Student,2.00,Male,25
Graduate_Student,Graduate_Student,2.00,Male,24
Graduate_Student,Graduate_Student,2.00,Other,28
Graduate_Student,Graduate_Student,2.00,Male,23
Graduate_Student,Graduate_Student,2.00,Male,26
Graduate_Student,Graduate_Student,2.00,Male,22
Graduate_Student,Graduate_Student,10.00,Female,26
Graduate_Student,Graduate_Student,2.00,Male,32
Graduate_Student,Graduate_Student,5.00,Female,26
Graduate_Student,Graduate_Student,2.00,Male,34
Graduate_Student,Graduate_Student,5.00,Female,26
Graduate_Student,Graduate_Student,2.00,Male,28
Graduate_Student,Graduate_Student,2.00,Male,27
Graduate_Student,Graduate_Student,2.00,Male,25
Graduate_Student,Graduate_Student,2.00,Male,26
Graduate_Student,Graduate_Student,2.00,Male,32
Graduate_Student,Graduate_Student,2.00,Other,23
Graduate_Student,Graduate_Student,2.00,Male,29
Graduate_Student,Graduate_Student,2.00,Male,25
Graduate_Student,Graduate_Student,2.00,Male,33
Graduate_Student,Graduate_Student,2.00,Male,27
Graduate_Student,Graduate_Student,8.00,Female,26
Graduate_Student,Graduate_Student,2.00,Male,24
Graduate_Student,Graduate_Student,1.00,Female,27
Graduate_Student,Graduate_Student,2.00,Female,27
Graduate_Student,Graduate_Student,2.00,Female,27
Graduate_Student,Graduate_Student,2.00,Male,26
Graduate_Student,Graduate_Student,3.00,Female,27
Graduate_Student,Graduate_Student,2.00,Male,26
Graduate_Student,Graduate_Student,2.00,Male,27
Graduate_Student,Graduate_Student,2.00,Male,28
Graduate_Student,Graduate_Student,2.00,Male,22
Graduate_Student,Graduate_Student,2.00,Male,32
Graduate_Student,Graduate_Student,4.00,Female,27
Graduate_Student,Graduate_Student,2.00,Male,24
